STATE,DEM,GOP,Johnson,Start,End,Pollster
AL,36,54,06,Oct 31,Nov 06,SurveyMonkey
AL,36,54,06,Oct 24,Oct 30,SurveyMonkey
AL,36,52,08,Oct 18,Oct 26,SurveyMonkey
AL,37,51,08,Oct 17,Oct 23,SurveyMonkey
AL,31,53,08,Aug 09,Sep 01,SurveyMonkey
AL,33,52,00,May 01,May 31,Morning
AL,31,53,00,Feb 01,Feb 29,Morning
AL,38,61,00,Jan 01,Jan 01,Election
AK,31,47,13,Oct 31,Nov 06,SurveyMonkey
AK,39,47,11,Oct 24,Oct 30,SurveyMonkey
AK,47,43,07,Oct 21,Oct 26,Craciun
AK,31,36,18,Sep 28,Oct 02,Alaska
AK,31,38,19,Aug 09,Sep 01,SurveyMonkey
AK,32,53,00,May 01,May 31,Morning
AK,33,48,00,Feb 01,Feb 29,Morning
AK,42,55,00,Jan 01,Jan 01,Election
AZ,40,45,09,Oct 30,Nov 01,Marist
AZ,43,47,02,Oct 29,Oct 31,Emerson
AZ,44,49,05,Oct 27,Nov 01,Opinion
AZ,42,44,04,Oct 26,Oct 28,YouGov
AZ,43,43,08,Oct 24,Oct 30,SurveyMonkey
AZ,45,46,04,Oct 21,Oct 24,Monmouth
AZ,39,37,08,Oct 14,Oct 14,HighGround
AZ,41,44,10,Oct 08,Oct 16,SurveyMonkey
AZ,43,38,07,Oct 10,Oct 15,Arizona
AZ,44,42,09,Oct 02,Oct 04,Emerson
AZ,42,42,05,Sep 28,Sep 30,OH
AZ,38,40,12,Sep 06,Sep 08,Marist
AZ,40,44,08,Aug 27,Aug 27,Gravis
AZ,43,46,00,Aug 26,Aug 28,PPP
AZ,40,39,07,Aug 25,Aug 27,OH
AZ,35,34,07,Aug 17,Aug 31,Arizona
AZ,37,39,13,Aug 09,Sep 01,SurveyMonkey
AZ,38,45,12,Aug 18,Aug 23,Opinion
AZ,42,44,05,Aug 02,Aug 05,YouGov
AZ,45,42,04,Aug 01,Aug 01,OH
AZ,40,44,00,Jun 22,Jun 23,PPP
AZ,47,42,00,Jun 20,Jun 20,OH
AZ,38,46,00,May 01,May 31,Morning
AZ,38,40,00,May 13,May 15,PPP
AZ,42,35,00,Apr 04,Apr 11,Behavior
AZ,38,38,00,Mar 07,Mar 11,Merrill/West
AZ,39,46,00,Feb 01,Feb 29,Morning
AZ,44,54,00,Jan 01,Jan 01,Election
AR,34,55,06,Oct 31,Nov 06,SurveyMonkey
AR,37,53,05,Oct 24,Oct 30,SurveyMonkey
AR,33,56,04,Oct 21,Oct 21,Hendrix
AR,36,59,00,Oct 18,Oct 25,U.
AR,34,55,03,Sep 15,Sep 17,Hendrix
AR,29,57,05,Sep 09,Sep 13,Emerson
AR,37,46,11,Aug 09,Sep 01,SurveyMonkey
AR,36,47,00,Jun 21,Jun 21,Hendrix
AR,37,47,00,May 01,May 31,Morning
AR,38,47,00,Feb 01,Feb 29,Morning
AR,37,61,00,Jan 01,Jan 01,Election
CA,56,30,07,Oct 31,Nov 06,SurveyMonkey
CA,56,35,04,Oct 28,Oct 31,SurveyUSA
CA,53,33,04,Oct 25,Oct 31,Field
CA,55,30,07,Oct 24,Oct 30,SurveyMonkey
CA,54,30,04,Oct 22,Oct 30,USC
CA,54,28,05,Oct 14,Oct 23,Public
CA,56,30,04,Oct 13,Oct 15,SurveyUSA
CA,61,25,04,Oct 07,Oct 13,Sacramento
CA,59,33,03,Sep 27,Sep 28,SurveyUSA
CA,47,31,10,Sep 09,Sep 18,Public
CA,50,33,05,Sep 07,Sep 13,YouGov
CA,57,32,03,Sep 08,Sep 11,SurveyUSA
CA,49,29,11,Sep 01,Sep 08,Los
CA,49,29,11,Sep 01,Sep 08,SurveyMonkey
CA,49,28,12,Aug 09,Sep 01,SurveyMonkey
CA,46,30,07,Jul 10,Jul 19,Public
CA,50,26,10,Jun 08,Jul 02,Field
CA,48,33,00,May 31,Jun 03,YouGov
CA,55,31,00,May 29,May 31,Marist
CA,53,34,00,May 26,May 31,Field
CA,56,30,00,May 19,May 31,LA
CA,52,38,00,May 19,May 22,SurveyUSA
CA,49,39,00,May 13,May 22,Public
CA,52,32,00,May 01,May 31,Morning
CA,45,33,04,May 04,May 16,Hoover
CA,56,34,00,Apr 27,Apr 30,SurveyUSA
CA,60,26,00,Mar 30,Apr 03,SurveyUSA
CA,59,31,00,Mar 24,Apr 04,Field
CA,57,30,00,Mar 16,Mar 23,LA
CA,53,32,00,Feb 01,Feb 29,Morning
CA,59,38,00,Jan 01,Jan 01,Election
CO,43,39,11,Oct 31,Nov 06,SurveyMonkey
CO,48,43,04,Nov 03,Nov 04,PPP
CO,39,39,05,Oct 29,Oct 31,Ciruli
CO,44,41,08,Oct 28,Oct 31,Emerson
CO,42,39,07,Oct 26,Oct 28,YouGov
CO,44,39,11,Oct 24,Oct 30,SurveyMonkey
CO,44,34,09,Oct 17,Oct 24,U.
CO,45,37,10,Oct 10,Oct 16,Quinnipiac
CO,44,37,12,Oct 08,Oct 16,SurveyMonkey
CO,49,38,07,Sep 29,Oct 02,Monmouth
CO,46,40,06,Sep 27,Sep 28,PPP
CO,40,39,07,Sep 21,Sep 23,YouGov
CO,41,42,13,Sep 20,Sep 25,Opinion
CO,44,42,10,Sep 13,Sep 21,Quinnipiac
CO,41,34,12,Sep 14,Sep 18,CMU-RMPBS
CO,38,42,13,Sep 09,Sep 13,Emerson
CO,37,37,16,Aug 09,Sep 01,SurveyMonkey
CO,41,33,16,Aug 09,Aug 16,Quinnipiac
CO,41,29,15,Aug 04,Aug 10,Marist
CO,37,28,13,Jul 09,Jul 12,Anderson
CO,48,35,05,Jul 09,Jul 12,Monmouth
CO,39,33,13,Jul 05,Jul 11,Marist
CO,43,41,00,Jul 07,Jul 08,Gravis
CO,40,39,00,Jun 21,Jun 24,YouGov
CO,45,37,00,May 01,May 31,Morning
CO,44,39,00,Feb 01,Feb 29,Morning
CO,51,47,00,Jan 01,Jan 01,Election
CT,51,37,07,Oct 31,Nov 06,SurveyMonkey
CT,51,39,04,Oct 24,Oct 30,SurveyMonkey
CT,50,35,09,Sep 02,Sep 05,Emerson
CT,44,33,12,Aug 09,Sep 01,SurveyMonkey
CT,41,36,06,Jun 01,Jun 05,Quinnipiac
CT,45,40,00,May 01,May 31,Morning
CT,48,40,00,Apr 10,Apr 11,Emerson
CT,47,36,00,Feb 01,Feb 29,Morning
CT,58,40,00,Jan 01,Jan 01,Election
DE,49,39,07,Oct 31,Nov 06,SurveyMonkey
DE,51,38,06,Oct 24,Oct 30,SurveyMonkey
DE,51,30,07,Sep 16,Sep 28,U.
DE,43,33,12,Aug 09,Sep 01,SurveyMonkey
DE,42,32,00,Jul 20,Jul 24,Fairleigh
DE,45,39,00,May 01,May 31,Morning
DE,47,38,00,Feb 01,Feb 29,Morning
DE,59,40,00,Jan 01,Jan 01,Election
DC,88,07,02,Oct 31,Nov 06,SurveyMonkey
DC,87,04,04,Oct 24,Oct 30,SurveyMonkey
DC,66,20,00,May 01,May 31,Morning
DC,70,17,00,Feb 01,Feb 29,Morning
DC,91,07,00,Jan 01,Jan 01,Election
